文件,变量,长度,使用采样率,时长(秒),均值,标准差,RMS,峭度,偏度,峰值,峰值因子,备注
A.mat,A,96000,32000.0,3.0,0.014252852634366297,3.4305306831342652,3.4305602912255986,0.1415696934692492,0.013417577913135468,15.635659703391369,4.557756860703762,
B.mat,B,96000,32000.0,3.0,-0.0006289317456519879,1.4810126271042312,1.4810127606463481,1.5828237222672819,0.02880405435773636,11.436762235963243,7.722257727861829,
C.mat,C,96000,32000.0,3.0,0.03741326132379572,31.867068292592354,31.867090254945897,25.661010092044666,0.111765090660899,347.4137568709385,10.901960426619702,
D.mat,D,96000,32000.0,3.0,0.03625391763407055,8.349013658190152,8.349092370502888,0.037207352369095226,0.016638159929025242,37.8458216274123,4.5329264485227805,
E.mat,E,96000,32000.0,3.0,-0.010719801099763818,15.611782158786639,15.611785839151917,38.28058433184921,-0.03904733192267888,179.6403239482024,11.50671203147641,
F.mat,F,96000,32000.0,3.0,0.005417178825445003,5.750597124589064,5.750599676134519,0.08402411680480393,0.015836575555926175,24.864816628521947,4.323864993022043,
G.mat,G,96000,32000.0,3.0,0.003143654168840962,1.6205567382066235,1.6205597873291884,1.3154447576459898,-0.026755126307530814,10.563148137576647,6.518209460809562,
H.mat,H,96000,32000.0,3.0,0.012357186079029579,10.844817255807985,10.844824296037187,1.8879553956115984,-0.2565552540821097,69.89483931400075,6.44499508761438,
I.mat,I,96000,32000.0,3.0,-0.05177579766065347,29.540239966864718,29.540285341092684,18.658861956177816,0.011039041724519921,299.755418628683,10.147343370840817,
J.mat,J,96000,32000.0,3.0,-0.010496553669172631,30.516693128341164,30.516694933543903,34.476873392509,0.24366041751773654,432.438309436089,14.170548625197073,
K.mat,K,96000,32000.0,3.0,0.0011244012272749243,10.314856451329984,10.314856512614314,0.5526136192310638,-0.03635689856448445,58.22974788405375,5.645231013426414,
L.mat,L,96000,32000.0,3.0,0.001172552195433277,1.8170744975494795,1.8170748758714774,0.5911692670202986,0.015079502750771436,9.87697932689937,5.4356479515806,
M.mat,M,96000,32000.0,3.0,0.004976157711752775,10.024576263947639,10.024577499019495,0.34129503624945867,-0.08134417018073788,54.262974120250874,5.412993627467925,
N.mat,N,96000,32000.0,3.0,0.00042063454022821614,9.351865329524882,9.351865338984675,29.2514528617143,-0.13418072308681483,152.6386956652433,16.321737977657317,
O.mat,O,96000,32000.0,3.0,-0.002580247291058709,1.4779170462966729,1.4779192986798584,1.1200149897399996,0.0225100537581653,10.340078957650373,6.996375896090254,
P.mat,P,96000,32000.0,3.0,0.008183141708724934,8.485242090629454,8.485246036527045,0.10846948964300163,0.00705063830918642,36.92925792520026,4.352172908861835,
